Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Berlin,Max-Planck-Institut für Bildungsforschung,Max-Planck-Institut für Bildungsforschung,Max Planck Institute for Human Development,Max Planck Institute for Human Development,https://ror.org/02pp7px91,grid.419526.d,grid.419526.d,Q772059,10173,Lentzeallee,94,NA,14195,Berlin,"Rechts-, Wirtschafts- und Sozialwissenschaften",Erziehungswissenschaften,Empirische Bildungsforschung,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10173,www.mpib-berlin.mpg.de,www.mpib-berlin.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mpib-berlin.mpg.de/open-access-am-mpib,26.02.2021,,,26.02.2021,keine Hinweise,"Katja Seehaus
 Josefine Blunk",www.mpib-berlin.mpg.de/open-access-am-mpib,26.02.2021,openaccess@mpib-berlin.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,Eigener Publikationsfonds seit 2018 und über die MPG,ja,www.mpib-berlin.mpg.de/open-access-am-mpib,ja,www.mpib-berlin.mpg.de/open-access-am-mpib,26.02.2021,auch für Journals außerhalb der MPG Verträge,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Berlin,Max-Planck-Institut für Infektionsbiologie,Max-Planck-Institut für Infektionsbiologie,Max Planck Institute for Infection Biology,Max Planck Institute for Infection Biology,https://ror.org/0046gcs23,grid.418159.0,grid.418159.0,Q1667439,10592,Charitéplatz,1,NA,10117,Berlin,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Immunologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10592,www.mpiib-berlin.mpg.de/,www.mpiib-berlin.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,Francesco Boccellato,nein,26.02.2021
Berlin,Max-Planck-Institut für molekulare Genetik (MPIMG),Max-Planck-Institut für molekulare Genetik (MPIMG),Max Planck Institute for Molecular Genetics (MPIMG),Max Planck Institute for Molecular Genetics,https://ror.org/03ate3e03,grid.419538.2,grid.419538.2,Q1721667,10174,Ihnestraße,63-73,NA,14195,Berlin,"Mathematik, Naturwissenschaften",Biologie,Genetik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10174,www.molgen.mpg.de,www.molgen.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.molgen.mpg.de/107364/Open_Access,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Berlin,Max-Planck-Institut für Wissenschaftsgeschichte (MPIWG),Max-Planck-Institut für Wissenschaftsgeschichte (MPIWG),Max Planck Institute for the History of Science (MPIWG),Max Planck Institute for the History of Science,https://ror.org/0492sjc74,grid.419556.a,grid.419556.a,Q318118,10594,Boltzmannstraße,22,NA,14195,Berlin,"Mathematik, Naturwissenschaften","Mathematik, Naturwissenschaften allgemein",Geschichte der Mathematik und Naturwissenschaften,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10594,www.mpiwg-berlin.mpg.de,www.mpiwg-berlin.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mpiwg-berlin.mpg.de/de/open-access,26.02.2021,,,26.02.2021,keine Hinweise,Urte Brauckmann,www.mpiwg-berlin.mpg.de/de/users/urte,26.02.2021,urte@mpiwg-berlin.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Berlin,Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung (MfN),Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung (MfN),Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science,Museum für Naturkunde,https://ror.org/052d1a351,grid.422371.1,grid.422371.1,Q233098,13232,Invalidenstraße,43,NA,10115,Berlin,"Mathematik, Naturwissenschaften","Mathematik, Naturwissenschaften allgemein",Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),NA,NA,NA,http://www.gerit.org/de/institutiondetail/13232,www.museumfuernaturkunde.berlin/,www.museumfuernaturkunde.berlin/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,https://www.museumfuernaturkunde.berlin/de/ueber/neuigkeiten/open-access-leitlinie-verabschiedet,12.08.2019,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Paul-Drude-Institut für Festkörperelektronik (PDI),Paul-Drude-Institut für Festkörperelektronik (PDI),Paul-Drude-Institut für Festkörperelektronik (PDI),Paul Drude Institute for Solid State Electronics,https://ror.org/01mk1hj86,grid.420187.8,grid.420187.8,Q2058481,10507,Hausvogteiplatz,5-7,NA,10117,Berlin,"Mathematik, Naturwissenschaften","Physik, Astronomie",Festkörperphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10507,www.pdi-berlin.de,www.pdi-berlin.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Technische Universität Berlin,Technische Universität Berlin,Technische Universität Berlin,Technical University of Berlin,https://ror.org/03v4gjf40,grid.6734.6,grid.6734.6,NA,10167,Straße des 17. Juni,135,NA,10623,Berlin,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10167,,www.tu-berlin.de,Universität,Universität,university,www.ub.tu-berlin.de/publizieren/open-access/,23.11.2020,Dr. Vera Meyer,www.mikrobiologie.tu-berlin.de/menue/cv_prof_vera_meyer/,23.11.2020,,"Michaela Voigt, Elena Di Rosa, Jana Schildhauer, Katharina Drescher",www.ub.tu-berlin.de/publizieren/ansprechpartnerinnen/,23.11.2020,openaccess@ub.tu-berlin.de,ja,06.12.2017,www.tu-berlin.de/?191164,,,,ja,Eigenmittel,ja,www.ub.tu-berlin.de/publikationsfonds/,ja,www.ub.tu-berlin.de/publikationsfonds/,23.11.2020,,depositonce.tu-berlin.de/,,ja,15.08.2016,nein,,nein,nein,nein,23.11.2020
Berlin,Universität der Künste Berlin,,NA,Berlin University of the Arts,https://ror.org/03eznrw16,grid.449445.c,grid.449445.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,www.udk-berlin.de,Universität,,,www.udk-berlin.de/service/universitaetsbibliothek/wir-ueber-uns/open-access-an-der-udk/,21.11.2020,Susanne Fontaine,http://www.open-access-berlin.de/akteure/ak-oa-beauftragte/index.html,21.11.2020,"Quelle, dass 
 Friederike Kramer Ansprechperson ist, ist nicht mehr verfügbar Stand 21.11.2020",,,21.11.2020,friederike.kramer@udk-berlin.de,ja,04.12.2019,www.udk-berlin.de/fileadmin/2_dezentral/Universitaetsbibliothek/Universitaetsbibliothek/PDF/Open_Access_Policy_fuer_die_UdK_Berlin-01-2020.pdf,,,,nein,,nein,,,,21.11.2020,,opus4.kobv.de/opus4-udk/home,,ja,05.06.2019,nein,,nein,nein,nein,21.11.2020
Berlin,Weierstraß-Institut für Angewandte Analysis und Stochastik (WIAS),Weierstraß-Institut für Angewandte Analysis und Stochastik (WIAS),Weierstrass Institute for Applied Analysis and Stochastics (WIAS),Weierstrass Institute for Applied Analysis and Stochastics,https://ror.org/00h1x4t21,grid.433806.a,grid.433806.a,Q2555215,10505,Mohrenstraße,39,NA,10117,Berlin,"Mathematik, Naturwissenschaften",Mathematik,Angewandte Mathematik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10505,www.wias-berlin.de/,www.wias-berlin.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.wias-berlin.de/services/library/index.jsp?lang=0,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Wissenschaftszentrum Berlin für Sozialforschung gGmbH (WZB),Wissenschaftszentrum Berlin für Sozialforschung gGmbH (WZB),Berlin Social Science Center (WZB),Social Science Research Center Berlin,https://ror.org/03k0z2z93,grid.13388.31,grid.13388.31,Q475602,10181,Reichpietschufer,50,NA,10785,Berlin,"Rechts-, Wirtschafts- und Sozialwissenschaften",Sozialwissenschaften,Sozialwissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10181,www.wzb.eu/de,www.wzb.eu/de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.wzb.eu/de/literatur-daten/bereiche/open-access,26.02.2021,Alessandro Blasetti,https://www.wzb.eu/de/personen/alessandro-blasetti,26.02.2021,,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,https://www.econstor.eu/handle/10419/43893,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,NA,"Fraunhofer-Institut für Nachrichtentechnik, Heinrich-Hertz-Institut (HHI)","Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute (HHI)",NA,NA,NA,grid.435231.2,NA,10530,Einsteinufer,37,NA,10587,Berlin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Kommunikations- und Informationstechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10530,,www.hhi.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,NA,Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration (IZM),Fraunhofer Institute for Reliability and Microintegration (IZM),NA,NA,NA,grid.469839.9,NA,10649,Gustav-Meyer-Allee,25,NA,13355,Berlin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10649,,www.izm.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,NA,Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik (IPK),Fraunhofer Institute for Production Systems and Design Technology (IPK),NA,NA,NA,grid.469819.b,NA,10675,Pascalstraße,8-9,NA,10587,Berlin,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Produktions- und Fertigungstechnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10675,,www.ipk.fraunhofer.de/startseite/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,NA,Fraunhofer-Institut für Offene Kommunikationssysteme (FOKUS),Fraunhofer Institute for Open Communication Systems (FOKUS),NA,NA,NA,grid.469837.7,NA,28400,Kaiserin-Augusta-Allee,31,NA,10589,Berlin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Kommunikations- und Informationstechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/28400,,www.fokus.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,NA,Fraunhofer-Verbund Mikroelektronik,Fraunhofer Group for Microelectronics,NA,NA,NA,NA,NA,268226645,Anna-Louisa-Karsch-Straße,2,NA,10178,Berlin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Elektrotechnik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/268226645,,www.mikroelektronik.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandenburg,Brandenburgische Technische Universität Cottbus-Senftenberg (BTU),Brandenburgische Technische Universität Cottbus-Senftenberg (BTU),Brandenburg University of Technology,Brandenburg University of Technology,https://ror.org/02wxx3e24,grid.8842.6,grid.8842.6,NA,10344,Platz der Deutschen Einheit,1,NA,3046,Cottbus,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10344,,www.b-tu.de/,Universität,Universität,university,www.b-tu.de/bibliothek/publizieren/open-access,23.11.2020,,,23.11.2020,keine Hinweise,"Charlotte Meixner (Bibliothek), Birgit Kammer, Dr. rer. nat. Patrick Hoffmann (Hochschule)",www.b-tu.de/bibliothek/publizieren/open-access,23.11.2020,meixner@tu-b.de,nein,,,,,,nein,,nein,,nein,,23.11.2020,,opus4.kobv.de/opus4-btu/home,,nein,,nein,,nein,,nein,23.11.2020
Brandenburg,Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke (DIFE),Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke (DIFE),German Institute of Human Nutrition Potsdam-Rehbruecke (DIfE),German Institute of Human Nutrition,https://ror.org/05xdczy51,grid.418213.d,NA,Q1205726,10374,Arthur-Scheunert-Allee,114-116,NA,14558,Nuthetal,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Ernährungs- und Haushaltswissenschaften,Ernährungswissenschaften,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10374,www.dife.de/,www.dife.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Brandenburg,Europa-Universität Viadrina Frankfurt (Oder),Europa-Universität Viadrina Frankfurt (Oder),European University Viadrina in Frankfurt (Oder),European University Viadrina,https://ror.org/02msan859,grid.33018.39,grid.33018.39,NA,10514,Große Scharrnstraße,59,NA,15230,Frankfurt,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10514,,www.europa-uni.de/de/index.html,Universität,Universität,university,www.ub.europa-uni.de/de/benutzung/bestand/edocs/oa/index.html,23.11.2020,,,23.11.2020,keine Hinweise,Ilona Czechowska,www.ub.europa-uni.de/de/benutzung/bestand/edocs/oa/index.html,23.11.2020,ub-oa@europa-uni.de,nein,,,,,,nein,,nein,,nein,,23.11.2020,,opus4.kobv.de/opus4-euv/home,,ja,25.06.2019,nein,,nein,Philipp Otto,nein,23.11.2020
Brandenburg,Filmuniversität Babelsberg Konrad Wolf,,NA,Film University Babelsberg,https://ror.org/04qbqv677,grid.461596.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,www.filmuniversitaet.de/,Universität,,,www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/,23.11.2020,,,23.11.2020,keine Hinweise,Uwe Figge,www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/,23.11.2020,u.figge@filmuniversitaet.de,nein,,,,,,nein,,nein,,nein,,23.11.2020,,opus4.kobv.de/opus4-filmuniversitaet/home,,nein,,nein,,nein,,nein,23.11.2020
Brandenburg,Helmholtz-Zentrum Potsdam - Deutsches GeoForschungsZentrum (GFZ),Helmholtz-Zentrum Potsdam - Deutsches GeoForschungsZentrum (GFZ),Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,https://ror.org/04z8jg394,grid.23731.34,grid.23731.34,Q1205654,10376,Telegrafenberg,NA,NA,14473,Potsdam,"Mathematik, Naturwissenschaften",Geowissenschaften (ohne Geographie),Geowissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10376,www.gfz-potsdam.de,www.gfz-potsdam.de,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,,05.01.2021,Roland Bertelmann,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,05.01.2021,,,,05.01.2021,rab[at]gfz-potsdam.de,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,05.01.2021,,gfzpublic.gfz-potsdam.de/,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,05.01.2021
Brandenburg,Innovations for High Performance Microelectronics/Leibniz-Institut für innovative Mikroelektronik,Innovations for High Performance Microelectronics/Leibniz-Institut für innovative Mikroelektronik,Innovations for High Performance Microelectronics/Leibniz-Institut für innovative Mikroelektronik,Innovations for High Performance Microelectronics,https://ror.org/0489gab80,grid.424874.9,NA,Q829654,28459,Im Technologiepark,25,NA,15236,Frankfurt,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/28459,www.ihp-ffo.de/,www.ihp-ffo.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Brandenburg,Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB),Leibniz Institute for Agricultural Engineering and Bioeconomy (ATB),Leibniz Institute for Agricultural Engineering and Bioeconomy,https://ror.org/04d62a771,grid.435606.2,NA,Q1316819,10377,Max-Eyth-Allee,100,NA,14469,Potsdam,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Agrarwissenschaften, Lebensmittel- und Getränketechnologie",Agrartechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10377,www.atb-potsdam.de/institut/ueber-uns/start.html,www.atb-potsdam.de/institut/ueber-uns/start.html,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Brandenburg,Leibniz-Institut für Astrophysik Potsdam (AIP),Leibniz-Institut für Astrophysik Potsdam (AIP),Leibniz Institute for Astrophysics Potsdam (AIP),Leibniz Institute for Astrophysics Potsdam,https://ror.org/03mrbr458,grid.423694.e,NA,Q662864,10378,An der Sternwarte,16,NA,14482,Potsdam,"Mathematik, Naturwissenschaften","Physik, Astronomie","Astronomie, Astrophysik",NA,NA,NA,http://www.gerit.org/de/institutiondetail/10378,www.aip.de/de,www.aip.de/de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Brandenburg,Leibniz-Institut für Gemüse- und Zierpflanzenbau (IGZ),Leibniz-Institut für Gemüse- und Zierpflanzenbau (IGZ),NA,Leibniz Institute of Vegetable and Ornamental Crops,https://ror.org/01a62v145,grid.461794.9,NA,Q1623334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,www.igzev.de/,www.igzev.de/,Forschungsorganisation: Leibniz-Gemeinschaft,,,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
